Date,CPI_val
2023-9,3.7
2023-8,3.665
2023-7,3.178
2023-6,2.969
2023-5,4.048
2023-4,4.93
2023-3,4.985
2023-2,6.036
2023-1,6.41
2022-12,6.454
2022-11,7.11
2022-10,7.745
2022-9,8.202
2022-8,8.263
2022-7,8.525
2022-6,9.06
2022-5,8.582
2022-4,8.259
2022-3,8.542
2022-2,7.871
2022-1,7.48
2021-12,7.036
2021-11,6.809
2021-10,6.222
2021-9,5.39
2021-8,5.251
2021-7,5.365
2021-6,5.391
2021-5,4.993
2021-4,4.16
2021-3,2.62
2021-2,1.676
2021-1,1.4
2020-12,1.362
2020-11,1.175
2020-10,1.182
2020-9,1.371
2020-8,1.31
2020-7,0.986
2020-6,0.646
2020-5,0.118
2020-4,0.329
2020-3,1.539
2020-2,2.335
2020-1,2.487
2019-12,2.285
2019-11,2.051
2019-10,1.764
2019-9,1.711
2019-8,1.75
2019-7,1.811
2019-6,1.648
2019-5,1.79
2019-4,1.996
2019-3,1.863
2019-2,1.52
2019-1,1.551
2018-12,1.91
2018-11,2.177
2018-10,2.522
2018-9,2.277
2018-8,2.699
2018-7,2.95
2018-6,2.872
2018-5,2.801
2018-4,2.463
2018-3,2.36
2018-2,2.212
2018-1,2.071
2017-12,2.109
2017-11,2.203
2017-10,2.041
2017-9,2.233
2017-8,1.939
2017-7,1.72
2017-6,1.625
2017-5,1.872
2017-4,2.2
2017-3,2.381
2017-2,2.738
2017-1,2.5
2016-12,2.075
2016-11,1.693
2016-10,1.636
2016-9,1.464
2016-8,1.063
2016-7,0.835
2016-6,1.006
2016-5,1.022
2016-4,1.125
2016-3,0.853
2016-2,1.018
2016-1,1.373
2015-12,0.73
2015-11,0.502
2015-10,0.171
2015-9,-0.036
2015-8,0.195
2015-7,0.17
2015-6,0.124
2015-5,-0.04
2015-4,-0.2
2015-3,-0.074
2015-2,-0.025
2015-1,-0.089
2014-12,0.756
2014-11,1.322
2014-10,1.664
2014-9,1.658
2014-8,1.7
2014-7,1.992
2014-6,2.072
2014-5,2.127
2014-4,1.953
2014-3,1.512
2014-2,1.126
2014-1,1.579
2013-12,1.502
2013-11,1.237
2013-10,0.964
2013-9,1.185
2013-8,1.518
2013-7,1.961
2013-6,1.754
2013-5,1.362
2013-4,1.063
2013-3,1.474
2013-2,1.978
2013-1,1.595
2012-12,1.741
2012-11,1.764
2012-10,2.162
2012-9,1.991
2012-8,1.692
2012-7,1.408
2012-6,1.664
2012-5,1.704
2012-4,2.303
2012-3,2.651
2012-2,2.871
2012-1,2.925
2011-12,2.962
2011-11,3.394
2011-10,3.525
2011-9,3.868
2011-8,3.771
2011-7,3.629
2011-6,3.559
2011-5,3.569
2011-4,3.164
2011-3,2.682
2011-2,2.108
2011-1,1.632
2010-12,1.496
2010-11,1.143
2010-10,1.172
2010-9,1.144
2010-8,1.148
2010-7,1.235
2010-6,1.053
2010-5,2.021
2010-4,2.236
2010-3,2.314
2010-2,2.143
2010-1,2.626
2009-12,2.721
2009-11,1.838
2009-10,-0.183
2009-9,-1.286
2009-8,-1.484
2009-7,-2.097
2009-6,-1.427
2009-5,-1.281
2009-4,-0.737
2009-3,-0.384
2009-2,0.236
2009-1,0.03
2008-12,0.091
2008-11,1.07
2008-10,3.655
2008-9,4.937
2008-8,5.372
2008-7,5.6
2008-6,5.022
2008-5,4.176
2008-4,3.937
2008-3,3.981
2008-2,4.027
2008-1,4.28
2007-12,4.081
2007-11,4.306
2007-10,3.536
2007-9,2.755
2007-8,1.97
2007-7,2.358
2007-6,2.687
2007-5,2.691
2007-4,2.574
2007-3,2.779
2007-2,2.415
2007-1,2.076
2006-12,2.541
2006-11,1.974
2006-10,1.305
2006-9,2.062
2006-8,3.819
2006-7,4.145
2006-6,4.319
2006-5,4.167
2006-4,3.546
2006-3,3.363
2006-2,3.597
2006-1,3.985
2005-12,3.416
2005-11,3.455
2005-10,4.348
2005-9,4.687
2005-8,3.641
2005-7,3.168
2005-6,2.53
2005-5,2.803
2005-4,3.511
2005-3,3.148
2005-2,3.008
2005-1,2.97
2004-12,3.256
2004-11,3.523
2004-10,3.189
2004-9,2.538
2004-8,2.654
2004-7,2.991
2004-6,3.266
2004-5,3.052
2004-4,2.285
2004-3,1.737
2004-2,1.693
2004-1,1.926
2003-12,1.879
2003-11,1.765
2003-10,2.041
2003-9,2.32
2003-8,2.158
2003-7,2.11
2003-6,2.112
2003-5,2.058
2003-4,2.225
2003-3,3.02
2003-2,2.981
2003-1,2.597
2002-12,2.377
2002-11,2.198
2002-10,2.026
2002-9,1.514
2002-8,1.803
2002-7,1.465
2002-6,1.067
2002-5,1.182
2002-4,1.639
2002-3,1.476
2002-2,1.138
2002-1,1.142
2001-12,1.552
2001-11,1.895
2001-10,2.126
2001-9,2.648
2001-8,2.72
2001-7,2.72
2001-6,3.248
2001-5,3.615
2001-4,3.269
2001-3,2.921
2001-2,3.534
2001-1,3.732
2000-12,3.387
2000-11,3.446
2000-10,3.448
2000-9,3.454
2000-8,3.411
2000-7,3.659
2000-6,3.73
2000-5,3.189
2000-4,3.069
2000-3,3.758
2000-2,3.222
2000-1,2.739
1999-12,2.685
1999-11,2.622
1999-10,2.561
